rank,track_name,artist_name,album_name,play_count,total_ms,total_hours,spotify_uri
1,Weightless,Marconi Union,The Ambient Zone Just Music Cafe Vol 4,2588,1211142328,336.43,spotify:track:6kkwzB6hXLIONkEk9JciA6
2,Africa Linda,Gabriele Poso,Batik,311,61851432,17.18,spotify:track:156Nx7o9KqZyQOv58l9TP9
3,Fifty Dollar Bills,Sworn Virgins,Fifty Dollar Bills,263,102240498,28.4,spotify:track:027T8Iol6XBnOewNaaHQul
4,Pantalón,Kornél Kovács,Radio Koko,251,61193070,17.0,spotify:track:0eOUXa1w5m7roVWO0nj1ZF
5,"Hypnotic Tango - Original 12"" Version",My Mine,Hypnotic Tango,241,77853287,21.63,spotify:track:3L1bBpBTa1SmGivOhR6DID
6,Witte Was,Goldband,Dun Smeren Geld Verdienen,207,45406423,12.61,spotify:track:4sIkwgf9bU7rQPvsA37rVQ
7,Noodgeval,Goldband,Betaalbare Romantiek,205,40672790,11.3,spotify:track:2LcmbuYX7tyR4DWy3b273L
8,Only You,Steve Monite,"Doing It in Lagos: Boogie, Pop & Disco in 1980's Nigeria",189,64975404,18.05,spotify:track:3d7lH2ppf2aIELQXY4nagn
9,Love Train,PillowTalk,Based On A True Story,176,52800747,14.67,spotify:track:1oLRbiWrKkLL3WZoulgM69
10,sun and moon,anees,summer camp,170,24871205,6.91,spotify:track:7m4BsKrYkOFy3VNmAMu5bO
11,Dreams - 2004 Remaster,Fleetwood Mac,Rumours,169,38845105,10.79,spotify:track:0ofHAoxe9vBkTCp2UQIavz
12,Desires,Jitwam,Desires,165,32767844,9.1,spotify:track:1f0yPMwmN0LDuqDsJJcmif
13,Ja Ja Nee Nee,Goldband,Ja Ja Nee Nee,163,33766845,9.38,spotify:track:6UjBPdD3La0j1JTaT7R6fK
14,Closer,Patrick Holland,Beaubien Dream,158,59399031,16.5,spotify:track:7mJvI2K63TtchC9Eyiia9W
15,Ladbroke Grove,AJ Tracey,AJ Tracey,158,27608945,7.67,spotify:track:7AODNxFNPnKaz4hURLzw5l
16,First Class,Jack Harlow,Come Home The Kids Miss You,158,26360224,7.32,spotify:track:0wHFktze2PHC5jDt3B17DC
17,It Wasn't Me,Shaggy,Hot Shot,151,32787992,9.11,spotify:track:3WkibOpDF7cQ5xntM1epyf
18,Someday,The Strokes,Is This It,148,25289920,7.02,spotify:track:56NkIxSZZiMpFP5ZNSxtnT
19,You Turn Me On - JKriv Rework,William & The Young Five,Glitterbox - Where Love Lives,146,52872037,14.69,spotify:track:2cYEGknLOxKkrpXGkHbbgj
20,Otan Hunu,Slim Young,Straight from the Decks (Guts Finest Selection from His Famous DJ Sets),146,37436665,10.4,spotify:track:14HaQ8iuZTQRIYj9wuZLG3
21,Angel,Shaggy,Hot Shot,145,32662134,9.07,spotify:track:7FDV5ELOJHCGLe52AnttEd
